Date,Open,High,Low,Close,Adj Close,Volume
2023-05-22,8.600000,9.600000,8.500000,9.250000,9.250000,317257961
2023-05-23,9.450000,9.650000,9.150000,9.450000,9.450000,161014013
2023-05-24,9.550000,10.200000,9.550000,10.050000,10.050000,277827881
2023-05-25,10.200000,10.300000,9.700000,9.800000,9.800000,165323748
2023-05-26,9.800000,10.150000,9.450000,10.000000,10.000000,149372185
2023-05-29,10.150000,10.450000,10.100000,10.350000,10.350000,179747106
2023-05-30,10.350000,10.750000,10.200000,10.650000,10.650000,294083000
2023-05-31,10.900000,11.850000,10.650000,11.750000,11.750000,751320632
2023-06-01,11.850000,12.000000,11.050000,11.150000,11.150000,316019955
2023-06-02,11.250000,11.400000,10.850000,11.000000,11.000000,258642228
2023-06-05,11.100000,11.500000,11.000000,11.400000,11.400000,272291792
2023-06-06,11.550000,12.400000,11.350000,12.200000,12.200000,533178450
2023-06-07,12.550000,14.600000,12.500000,14.450000,14.450000,346243409
2023-06-08,14.200000,14.200000,13.200000,13.350000,13.350000,522427881
2023-06-09,13.500000,14.200000,13.300000,14.000000,14.000000,293778902
2023-06-12,14.150000,15.400000,14.100000,15.300000,15.300000,461323199
2023-06-13,15.400000,15.750000,14.750000,15.100000,15.100000,390548184
2023-06-14,15.250000,15.350000,14.150000,14.400000,14.400000,222177502
2023-06-15,14.400000,14.600000,14.000000,14.450000,14.450000,178864927
2023-06-16,14.550000,15.150000,14.550000,14.750000,14.750000,282491085
2023-06-19,14.950000,15.050000,14.250000,14.550000,14.550000,163607569
2023-06-20,14.650000,14.700000,13.650000,14.250000,14.250000,196840707
2023-06-21,14.300000,14.550000,13.850000,14.000000,14.000000,134315767
2023-06-22,14.050000,14.100000,13.300000,13.600000,13.600000,150787608
2023-06-23,13.600000,14.150000,13.250000,13.850000,13.850000,133077725
2023-06-26,13.950000,14.250000,13.650000,14.000000,14.000000,93075149
2023-06-27,14.050000,14.400000,14.000000,14.100000,14.100000,81222094
2023-06-28,14.200000,15.000000,14.200000,14.750000,14.750000,204357357
2023-06-30,15.050000,15.650000,14.950000,15.300000,15.300000,260744421
2023-07-03,15.750000,16.799999,15.750000,16.799999,16.799999,389920926
2023-07-04,17.450001,18.450001,17.150000,18.299999,18.299999,701973517
2023-07-05,17.950001,18.150000,17.400000,17.400000,17.400000,264737406
2023-07-06,16.799999,17.950001,16.650000,17.650000,17.650000,415023310
2023-07-07,17.549999,18.299999,17.450001,17.850000,17.850000,267551084
2023-07-10,18.049999,18.100000,17.200001,17.350000,17.350000,142507601
2023-07-11,17.500000,18.200001,17.049999,17.950001,17.950001,369539889
2023-07-12,18.000000,18.549999,17.600000,18.000000,18.000000,201949606
2023-07-13,18.150000,18.350000,17.450001,17.549999,17.549999,149133001
2023-07-14,17.650000,17.900000,17.299999,17.700001,17.700001,81517693
2023-07-17,18.250000,18.450001,18.100000,18.200001,18.200001,129569292
2023-07-18,18.299999,18.299999,17.799999,17.900000,17.900000,89012544
2023-07-19,18.000000,18.100000,17.799999,17.850000,17.850000,48709437
2023-07-20,17.950001,18.700001,17.850000,18.700001,18.700001,242575898
2023-07-21,19.250000,19.600000,19.100000,19.600000,19.600000,86292023
2023-07-24,20.549999,20.549999,19.200001,20.000000,20.000000,517944819
2023-07-25,20.250000,20.799999,19.000000,19.000000,19.000000,276540698
2023-07-26,18.049999,18.049999,18.049999,18.049999,18.049999,41086178
2023-07-27,17.650000,18.400000,17.450001,17.850000,17.850000,250669150
2023-07-28,17.799999,18.250000,17.700001,18.049999,18.049999,97658422
2023-07-31,18.200001,18.950001,18.049999,18.950001,18.950001,123353716
2023-08-01,19.549999,19.850000,19.100000,19.299999,19.299999,167771796
2023-08-02,19.350000,19.350000,18.350000,18.500000,18.500000,229699866
2023-08-03,18.450001,18.450001,17.700001,17.950001,17.950001,122802683
2023-08-04,18.000000,18.799999,18.000000,18.400000,18.400000,241151653
2023-08-07,18.600000,19.000000,18.250000,18.650000,18.650000,119709706
2023-08-08,18.650000,18.950001,18.350000,18.600000,18.600000,107177129
2023-08-09,18.950001,19.500000,18.900000,19.500000,19.500000,204669757
2023-08-10,19.950001,20.450001,19.900000,20.450001,20.450001,198521194
2023-08-11,20.750000,21.250000,19.799999,20.200001,20.200001,193133275
2023-08-14,19.549999,20.200001,19.299999,20.049999,20.049999,110526997
2023-08-16,20.049999,20.500000,20.049999,20.250000,20.250000,66006572
2023-08-17,19.850000,20.000000,19.400000,19.700001,19.700001,130822363
2023-08-18,19.799999,20.049999,19.500000,19.799999,19.799999,70016385
2023-08-21,20.100000,20.150000,19.799999,19.900000,19.900000,71793107
2023-08-22,19.950001,20.850000,19.950001,20.850000,20.850000,189624524
2023-08-23,21.000000,21.850000,21.000000,21.850000,21.850000,204874807
2023-08-24,22.750000,22.850000,21.250000,21.500000,21.500000,269657749
2023-08-25,21.650000,22.549999,21.549999,22.400000,22.400000,166449370
2023-08-28,23.400000,23.500000,23.250000,23.500000,23.500000,192627964
2023-08-29,24.000000,24.650000,23.950001,24.650000,24.650000,203593052
2023-08-30,25.850000,25.850000,25.350000,25.850000,25.850000,88452282
2023-08-31,26.500000,27.049999,24.549999,24.549999,24.549999,413958502
2023-09-01,24.549999,25.750000,23.950001,25.000000,25.000000,209113483
2023-09-04,25.450001,25.700001,23.850000,24.100000,24.100000,189499859
2023-09-05,24.600000,24.900000,23.500000,23.600000,23.600000,131411045
2023-09-06,23.799999,24.400000,23.400000,23.799999,23.799999,107987698
2023-09-07,24.100000,24.950001,23.549999,24.100000,24.100000,170673034
2023-09-08,24.200001,24.299999,23.650000,24.049999,24.049999,87741294
2023-09-11,24.299999,24.400000,23.750000,24.000000,24.000000,93344063
2023-09-12,24.150000,24.200001,22.799999,22.799999,22.799999,146034046
